Name,Symbol,Price (USD),Volume (USD),Market capacity (USD),Change (1h),Change (24h),Change (7d)
Pluton,PLU,6.62345,111830.0,5629929.18828,-0.36%,9.54%,-19.58%
Rupee,RUP,0.252513,289388.0,5587494.03315,0.66%,-25.17%,-3.56%
Royal Kingdom...,RKC,2.00829,37904.4,5422383.0,0.09%,16.66%,72.06%
Qwark,QWARK,0.13366,55135.5,5392431.64669,0.15%,5.98%,-10.46%
Tao,XTO,0.16438,2210.26,5362156.52199,-1.25%,8.93%,-6.81%
Global Curren...,GCR,0.0514591,51667.1,5320296.1818,0.71%,13.36%,7.84%
FoldingCoin,FLDC,0.0100433,69293.3,5269546.13251,-1.73%,1.30%,-2.87%
ZrCoin,ZRC,1.44463,33354.1,5259192.85056,-0.98%,0.73%,-2.90%
APX,APX,7.19132,58314.1,5056785.20628,0.44%,-2.62%,23.19%
Creditbit,CRB,0.304451,57589.1,5024746.45497,-1.29%,2.56%,-8.62%
ExclusiveCoin,EXCL,1.14791,28071.9,4967651.69542,-3.79%,4.24%,-11.71%
Autonio,NIO,0.0743062,187413.0,4891438.56494,2.13%,-42.16%,118.31%
TheGCCcoin,GCC,0.00910919,11768.3,4530922.48384,-1.63%,12.96%,6.33%
Circuits of V...,COVAL,0.00450257,69306.8,4502570.0,0.34%,7.71%,-8.83%
Myriad,XMY,0.00293643,251508.0,4490502.54266,-3.49%,8.25%,4.47%
ArtByte,ABY,0.00566017,22512.9,4485895.56633,-2.61%,3.61%,-5.13%
Pesetacoin,PTC,0.034068,29922.9,4479272.71418,-2.38%,8.81%,-2.78%
Synergy,SNRG,1.39366,13731.8,4448622.5577,-1.26%,4.97%,-5.37%
EquiTrader,EQT,0.450606,41357.8,4378009.57068,-0.90%,-6.91%,-12.16%
Neutron,NTRN,0.13213,23039.1,4241323.26515,-1.91%,-3.89%,13.37%
Prospectors Gold,PGL,0.0654659,2966.27,4222550.55,-1.25%,-32.30%,9.88%
NuShares,NSR,0.00150086,5129.53,4168789.87065,-1.15%,3.99%,-20.74%
Bitswift,SWIFT,1.02201,34054.1,4158597.52316,-1.25%,5.30%,-5.09%
Voise,VOISE,0.0064256,197328.0,4131737.9072,-1.92%,4.09%,-21.60%
Bela,BELA,0.106801,58998.3,4115758.0967,-3.73%,-2.85%,-2.87%
Propy,PRO,0.292675,44180.8,4114194.5221,0.26%,-3.03%,-7.39%
EuropeCoin,ERC,0.409591,57317.5,4074041.20489,-2.76%,0.50%,-18.57%
Internet of P...,IOP,2.21677,361485.0,4025891.51439,-1.75%,4.69%,-3.08%
Hedge,HDG,1.08494,64989.4,4024774.07844,0.28%,-1.34%,11.37%
EarthCoin,EAC,0.000348721,34966.6,4010328.32348,-6.77%,7.65%,173.32%
HempCoin,THC,0.0173671,171124.0,3967417.35226,-0.51%,14.92%,7.57%
Yocoin,YOC,0.0361962,26998.3,3939442.38418,-1.08%,-11.11%,-6.78%
ChainCoin,CHC,0.244849,80478.8,3921454.84369,8.21%,9.92%,88.03%
bitUSD,BITUSD,0.956622,298512.0,3914009.34678,-0.12%,-1.40%,-3.68%
XGOX,XGOX,0.0160106,117001.0,3910275.90502,-3.54%,8.18%,-12.60%
Syndicate,SYNX,0.23636,77842.0,3832452.1292,1.46%,8.39%,-3.26%
SunContract,SNC,0.0355242,240586.0,3826383.02665,6.55%,9.11%,11.06%
VeriumReserve,VRM,2.72952,49227.3,3729973.12374,-0.87%,6.87%,-11.61%
Hush,HUSH,1.64514,27289.5,3689226.45,-2.43%,5.27%,-13.07%
Dent,DENT,0.000344103,14454.5,3652571.09103,0.37%,-30.51%,-29.65%
Primalbase Token,PBT,3613.98,34004.3,3613980.0,-3.41%,45.87%,39.61%
TrueFlip,TFL,0.573406,1478.41,3582220.3814,-15.57%,-9.48%,-30.92%
Blitzcash,BLITZ,0.87257,32237.3,3580704.3503,-2.22%,-2.66%,-5.64%
EverGreenCoin,EGC,0.267093,625536.0,3558026.13248,0.95%,27.02%,15.92%
Bitmark,BTM,0.497857,15645.5,3546315.06812,1.97%,8.06%,4.03%
Hubii Network,HBT,0.158591,14045.5,3530433.67054,-6.75%,-36.16%,21.68%
Mintcoin,MINT,0.000137196,799.745,3422664.39381,-1.46%,80.01%,33.68%
ZClassic,ZCL,1.87241,94529.9,3388687.618,-0.34%,0.22%,6.78%
AudioCoin,ADC,0.00405999,5845.02,3387909.76652,-1.10%,-11.87%,-26.99%
NewYorkCoin,NYC,2.59439e-05,3336.18,3347613.58668,-8.75%,3.69%,101.52%
Zeitcoin,ZEIT,9.0433e-05,7514.56,3343412.35697,-5.84%,-12.66%,-28.02%
TrustPlus,TRUST,0.103059,40307.1,3306812.42129,2.57%,4.25%,-9.04%
CarTaxi Token,CTX,0.0537062,4025.23,3304933.81539,-1.99%,-18.42%,-31.61%
Terracoin,TRC,0.152818,4345.38,3267302.3263,-1.97%,2.68%,-15.54%
Steem Dollars,SBD,0.992484,171343.0,3267020.39428,-0.44%,-0.10%,0.46%
GeoCoin,GEO,0.983648,28384.2,3243781.91149,0.45%,8.47%,-4.60%
PiplCoin,PIPL,0.0386175,1378.76,3222408.63608,-0.30%,10.32%,12.68%
Memetic,MEME,0.192974,565282.0,3176119.72367,-3.32%,5.02%,-8.25%
Primecoin,XPM,0.148318,666848.0,3162624.134,-0.09%,1.67%,4.66%
DeepOnion,ONION,0.820718,36370.6,3081945.65084,1.81%,23.98%,22.06%
DNotes,NOTE,0.0238862,34626.8,3080861.78958,11.72%,24.43%,-4.65%
Breakout Stake,BRX,0.490149,16635.7,3072294.36636,-1.68%,2.99%,-4.80%
ProCurrency,PROC,0.0318766,27988.3,3049791.2725,-1.28%,-35.13%,16.39%
Tracto,TRCT,0.859384,16251.5,2995238.67979,-1.01%,-0.23%,-10.02%
vSlice,VSL,0.0892111,122038.0,2978802.88068,-0.82%,4.45%,-51.65%
eBitcoin,EBTC,0.155526,36377.4,2938994.41828,4.46%,9.24%,66.16%
Visio,VISIO,0.0570928,9641.99,2901703.7472,-1.25%,54.31%,38.57%
2GIVE,2GIVE,0.00557916,17315.8,2882284.06636,-0.63%,6.02%,-14.95%
BridgeCoin,BCO,0.108381,9003.57,2864639.8872,-0.02%,12.58%,-12.17%
Karbowanec,KRB,0.601066,57494.0,2858651.42114,-1.59%,8.97%,28.88%
Sexcoin,SXC,0.0227339,28385.3,2845425.39174,3.62%,0.05%,4.24%
Remicoin,RMC,1.42176,10057.1,2813981.43427,0.35%,25.62%,6.77%
FIMKrypto,FIMK,0.00478845,2614.95,2762957.76306,19.74%,11.50%,24.36%
VIVO,VIVO,4.20354,123218.0,2738287.63307,-7.30%,-5.60%,-20.56%
Breakout,BRK,0.150445,12154.7,2729385.66539,-1.04%,4.56%,-1.52%
Janus,JNS,0.118339,1505.71,2714168.59523,-1.52%,33.57%,8.96%
ParkByte,PKB,0.566036,127516.0,2696610.41043,0.54%,-1.15%,13.18%
REAL,REAL,0.266191,64345.8,2676767.98305,-8.00%,-15.94%,-12.34%
Social,SCL,0.159986,11531.8,2674009.15001,-0.06%,-6.65%,-22.53%
FLiK,FLIK,0.04441,25457.4,2670092.72508,-8.81%,-1.94%,-16.14%
Quark,QRK,0.0105869,12735.8,2666126.30695,-1.19%,44.60%,31.18%
BlueCoin,BLU,0.00458152,916.795,2632924.75073,0.48%,5.57%,-22.71%
Innova,INN,4.25402,129158.0,2624409.78368,-1.20%,4.66%,15.42%
ATLANT,ATL,0.197207,14536.3,2586374.02172,-0.60%,6.55%,7.94%
Condensate,RAIN,0.0327608,12484.8,2549864.98517,-3.18%,-3.58%,18.49%
Altcoin,ALT,20.8127,12894.7,2542797.21037,-1.25%,65.48%,117.53%
SpreadCoin,SPR,0.279424,101334.0,2541056.32635,1.41%,13.58%,-11.73%
Opus,OPT,0.0179702,5930.36,2517275.4798,4.39%,10.10%,-5.74%
Riecoin,RIC,0.0644654,133948.0,2510990.18376,-0.58%,-2.22%,-37.16%
Ixcoin,IXC,0.114392,1168.71,2402127.67438,-1.19%,8.59%,18.95%
e-Gulden,EFL,0.154499,73016.6,2399597.91995,1.24%,15.26%,24.83%
ClearPoll,POLL,0.339571,16980.4,2376993.94386,-8.16%,6.98%,17.13%
PutinCoin,PUT,0.0117842,6265.17,2365622.35636,-0.13%,18.35%,11.70%
CHIPS,CHIPS,0.125143,11873.7,2362353.24861,-12.13%,23.15%,22.07%
Embers,MBRS,0.0470574,12628.4,2352870.0,0.37%,-12.13%,3.63%
DopeCoin,DOPE,0.0210867,35171.1,2342429.73718,-1.81%,6.58%,-3.16%
NEVERDIE,NDC,0.0569204,3616.99,2333975.46568,-0.02%,-5.39%,-9.75%
Crave,CRAVE,1.59008,3290.57,2271941.28576,-4.52%,6.76%,-6.56%
Creativecoin,CREA,0.176436,3124.05,2247319.0437,0.03%,-3.36%,0.43%
HunterCoin,HUC,0.111564,98740.5,2239773.36732,-2.19%,6.91%,11.45%
Oceanlab,OCL,0.0473755,32233.4,2202960.75,10.32%,16.39%,27.19%
Starta,STA,0.4267,2143.66,2162905.6038,10.69%,9.11%,-0.63%
Onix,ONX,0.076753,42964.6,2105550.77294,-0.88%,10.28%,4.15%
vTorrent,VTR,0.194397,15976.4,2102591.30803,-0.47%,6.75%,-5.22%
Indorse Token,IND,0.0451111,101439.0,2098035.68502,-1.85%,-3.29%,-12.88%
Kolion,KLN,3.4217,409165.0,2053020.0,-0.71%,1.94%,17.87%
Bismuth,BIS,0.41351,49854.4,2020643.49315,-3.25%,4.82%,-6.29%
Bowhead,AHT,0.250091,6533.03,2000728.0,-1.22%,204.66%,69.39%
AdShares,ADST,0.161657,1587.59,1943379.50931,-4.33%,-7.81%,17.37%
Intelligent T...,ITT,0.197741,4226.92,1937446.37468,0.37%,9.90%,77.13%
CannabisCoin,CANN,0.0250219,53935.2,1932470.75106,-4.13%,6.86%,-6.99%
Woodcoin,LOG,0.239422,1865.56,1923801.99128,-1.40%,6.81%,53.10%
Tokes,TKS,1.65251,50673.9,1872305.39757,-0.89%,8.84%,-3.26%
Magi,XMG,0.245083,21197.2,1858029.43701,-1.19%,2.89%,0.30%
HelloGold,HGT,0.00706356,6096.44,1857961.06097,0.26%,-14.04%,-18.23%
Startcoin,START,0.0411928,93136.2,1856962.56755,-2.56%,-5.75%,-5.25%
Zennies,ZENI,0.00178741,5948.8,1788862.87039,-0.60%,-2.60%,8.03%
ArcticCoin,ARC,0.0726521,78960.4,1783273.28298,13.06%,6.47%,-6.00%
Espers,ESP,8.39161e-05,2916.81,1743181.88933,13.65%,2.38%,-2.08%
Darcrus,DAR,0.127281,5701.64,1731070.99394,-2.26%,5.35%,41.64%
Legends Room,LGD,0.858385,60516.4,1716770.0,-1.78%,2.78%,-6.49%
Renos,RNS,0.0508145,9105.41,1694972.36492,-1.25%,15.49%,65.98%
LuckChain,BASH,0.00235866,2866.92,1686354.97424,-1.25%,8.94%,-2.49%
Megacoin,MEC,0.0462064,17051.8,1674080.97502,-2.32%,8.16%,87.44%
Unity Ingot,UNY,0.00827424,4799.16,1671396.48,4.06%,-7.68%,-35.81%
Zoin,ZOI,0.105705,17975.8,1602905.33475,-2.87%,1.52%,-20.91%
FlypMe,FYP,0.0907596,2818.59,1600879.63209,-4.63%,-3.23%,-11.79%
WorldCoin,WDC,0.0136238,2950.73,1595926.83209,-5.36%,-12.60%,81.05%
Dotcoin,DOT,0.00598437,59235.1,1583364.0638,-0.03%,10.50%,-1.35%
Adelphoi,ADL,0.0666023,1522.82,1563304.10452,-2.58%,-5.77%,-21.70%
CryptoInsight,TKR,0.124365,20896.1,1558261.97921,2.80%,8.08%,-4.36%
FundYourselfNow,FYN,1.8124,21938.1,1540540.0,4.51%,24.93%,8.74%
Elixir,ELIX,0.0647718,26704.0,1534143.64921,0.53%,14.95%,-2.90%
SuperCoin,SUPER,0.0336735,32427.8,1530788.45888,-6.06%,4.20%,71.68%
CryptoPing,PING,0.150333,1771.24,1496127.39564,-1.53%,-8.27%,-21.96%
Pirl,PIRL,0.42769,36250.2,1480216.27164,-1.67%,2.39%,-27.95%
REX,REX,0.170429,877.825,1476043.98432,5.92%,25.58%,21.90%
Zephyr,ZEPH,0.0116689,7981.85,1470170.95831,-0.57%,0.43%,-26.99%
DraftCoin,DFT,0.647876,173075.0,1424952.11581,-0.54%,11.69%,5.73%
Unitus,UIS,0.030329,44251.4,1418968.53831,8.37%,52.73%,149.73%
Internxt,INXT,2.20823,14151.2,1390322.68114,1.55%,1.91%,-9.74%
LIFE,LIFE,0.00021917,26317.5,1369626.39137,-1.44%,-3.39%,25.29%
BitcoinZ,BTCZ,0.00283035,61044.0,1354251.89935,-7.53%,-38.38%,-55.19%
Cryptonite,XCN,0.00345003,13082.9,1271935.68484,-7.46%,-22.54%,184.11%
Greencoin,GRE,0.000359211,30653.7,1269517.99904,-38.18%,121.57%,-91.12%
TrezarCoin,TZC,0.0161167,2608.51,1260722.41082,-1.54%,8.34%,13.17%
eBoost,EBST,0.104703,191346.0,1256436.0,-1.52%,8.25%,-5.49%
Mao Zedong,MAO,0.197613,3600.24,1229677.72151,-16.12%,-6.74%,-25.65%
Miners' Rewar...,MRT,0.122167,25603.2,1221670.0,-3.01%,-0.39%,44.40%
Adzcoin,ADZ,0.0274274,1099.85,1203342.06996,-0.89%,6.78%,-10.90%
Giga Watt Token,WTT,1.31162,39152.0,1180458.0,-0.44%,-11.19%,-13.73%
HyperStake,HYP,0.00112182,5194.5,1179561.24183,-3.00%,-3.26%,0.37%
Growers Inter...,GRWI,1.07502,3068.05,1175085.97916,-1.22%,-4.43%,12.72%
Influxcoin,INFX,0.658369,20283.6,1101703.77534,-1.25%,6.07%,-4.44%
Bitzeny,ZNY,0.0142939,8535.75,1080826.10155,1.80%,9.59%,-22.11%
SkinCoin,SKIN,0.0122282,36725.1,1078325.26682,-0.56%,2.65%,-12.05%
Bytecent,BYC,0.564036,38626.7,1051355.39483,-1.27%,-0.05%,-19.72%
LiteDoge,LDOGE,6.75655e-05,20097.3,1005632.70713,-1.20%,9.64%,24.73%
Machinecoin,MAC,0.0496724,11801.0,1001769.36881,-4.08%,67.39%,55.01%
Signatum,SIGT,0.00915918,15412.2,988941.995742,0.32%,21.86%,40.94%
Fastcoin,FST,0.00761607,1102.05,959624.82,-3.80%,10.81%,-2.74%
CryptoCarbon,CCRB,0.267286,60247.4,952102.400746,-1.45%,9.76%,-21.42%
NuBits,USNBT,0.990708,132417.0,951994.103484,-0.86%,-1.34%,-0.90%
UltraCoin,UTC,0.0211555,1112.0,940591.686435,-1.20%,14.81%,6.05%
Moin,MOIN,0.12913,1686.95,936918.027335,-0.89%,5.05%,40.42%
HiCoin,XHI,0.00493289,142015.0,935917.170786,-3.79%,8.68%,17.86%
InsaneCoin,INSN,0.0527223,2911.28,929360.031608,-2.21%,8.87%,68.16%
FedoraCoin,TIPS,2.07683e-06,631.098,920384.976374,-1.26%,-68.91%,-84.57%
Gimli,GIM,0.0114473,898.553,915784.0,0.35%,59.86%,-39.32%
Helleniccoin,HNC,0.0142951,6805.73,911689.730216,17.07%,-17.36%,-42.86%
Bitradio,BRO,0.153177,1732.11,894830.576909,2.78%,10.67%,-11.25%
KekCoin,KEK,0.0857698,1329.21,887913.199568,-2.56%,10.96%,20.88%
Ethbits,ETBS,0.631808,1251.6,879226.293749,1.32%,2.57%,-44.37%
Pure,PURE,0.332333,45203.3,875730.968124,5.65%,-6.15%,-31.71%
MonacoCoin,XMCC,0.344555,15643.1,858951.956292,-4.52%,-2.82%,-28.78%
BriaCoin,BRIA,1.62026,1355.98,847888.493827,-1.09%,17.81%,-4.11%
Netko,NETKO,0.197039,2403.64,830059.298935,-7.23%,-4.19%,5.85%
Linda,LINDA,0.000133549,6613.64,801752.028436,-5.41%,3.60%,-18.66%
Torcoin,TOR,2.50399,3648.33,791707.80223,-10.98%,1987.30%,100.52%
Linx,LINX,0.0710033,27092.5,786091.73496,-1.18%,-12.28%,-3.22%
BitBar,BTB,22.2141,708.463,779336.269066,38.97%,55.34%,35.03%
Sumokoin,SUMO,0.356023,3457.55,779206.071913,-1.23%,2.66%,4.50%
Sovereign Hero,HERO,162.903,6092.43,777536.019,-0.57%,-5.62%,-4.04%
Ethereum Blue,BLUE,0.0227806,26933.9,763371.322407,12.40%,-26.75%,60.29%
Billionaire T...,XBL,0.22709,73224.0,752887.82748,2.18%,9.95%,42.71%
FuckToken,FUCK,0.0145427,2033.67,747391.250394,10.92%,38.00%,24.81%
Capricoin,CPC,0.365206,87919.5,726776.37427,-6.19%,9.25%,1.63%
Happycoin,HPC,0.0573547,26052.1,720714.67264,-10.50%,-6.12%,-16.85%
Fantomcoin,FCN,0.114351,929.222,707853.165272,0.60%,7.49%,15.71%
Xios,XIOS,0.343148,66948.8,703029.327404,-1.72%,-18.18%,-60.42%
Zetacoin,ZET,0.00418707,918.057,699170.95751,-0.61%,1.33%,-10.46%
RouletteToken,RLT,0.0684677,18198.3,693313.68832,-1.50%,6.70%,-8.02%
Monster Byte,MBI,0.04101,637.287,689900.40336,-0.61%,-4.24%,17.47%
Ethereum Gold,ETG,0.0546096,16829.9,655315.2,-0.77%,7.70%,2.32%
UnbreakableCoin,UNB,0.286592,27332.7,652899.5648,-1.35%,4.35%,-5.32%
Minereum,MNE,0.456736,5146.31,649746.486883,-3.56%,5.91%,-30.18%
Elementrem,ELE,0.0250143,1791.87,643371.584103,-1.25%,40.96%,162.21%
EthBet,EBET,0.0749601,5850.23,637348.25025,0.40%,2.31%,12.34%
Bata,BTA,0.125255,2799.18,624137.290529,-1.43%,11.40%,-21.10%
NautilusCoin,NAUT,0.038522,108569.0,623285.96,3.30%,-2.40%,-44.40%
AllSafe,ASAFE2,0.0761958,6531.89,611852.274701,-0.46%,470.35%,1383.04%
ColossusCoinXT,COLX,0.000121524,4690.04,576182.982546,-1.32%,13.62%,60.80%
SACoin,SAC,0.0814751,4448.54,571281.237711,5.20%,23.47%,-4.35%
NetCoin,NET,0.00071456,1686.75,562449.263007,-10.21%,-6.67%,-11.82%
SHIELD,XSH,0.00120632,3919.05,550498.168823,1.99%,14.67%,44.55%
Unify,UNIFY,0.0303939,11184.1,539912.733704,-1.63%,24.96%,-43.40%
Footy Cash,XFT,0.115198,2582.18,523309.033016,-2.63%,2.39%,4.75%
Zero,ZER,0.267958,4864.72,518863.15288,-0.09%,-0.97%,13.94%
Bitstar,BITS,0.0224471,681.027,518073.158256,-5.31%,-0.61%,-8.33%
Solaris,XLR,0.894063,4020.15,500421.889467,-0.87%,12.99%,-13.74%
42-coin,42,11843.6,770.545,497431.193486,3.63%,23.26%,-5.03%
Infinitecoin,IFC,5.4474e-06,2173.61,493514.147945,0.93%,-52.65%,-58.41%
DigitalDevelo...,DDF,0.0963723,4400.08,493263.017696,15.21%,-2.59%,-14.26%
WhaleCoin,WHL,0.151565,89255.2,493011.84452,-4.56%,-11.21%,-36.94%
LUXCoin,LUX,1.42917,558152.0,482738.736845,3.95%,27.31%,-17.74%
FuturXe,FXE,2.04866,5239.06,482297.790726,19.18%,18.36%,2.27%
InflationCoin,IFLT,1.45642e-05,720.427,475492.875119,-2.14%,-53.87%,-50.45%
SmileyCoin,SMLY,1.82762e-05,2051.91,474454.72105,-2.51%,-13.88%,-36.12%
Fujinto,NTO,0.00677983,317640.0,446129.411256,-2.74%,-0.09%,-12.23%
Denarius,DNR,0.237963,3370.24,437547.089409,-1.28%,-18.46%,12.53%
TagCoin,TAG,0.0732706,3146.73,431865.801076,-16.37%,2.26%,55.74%
Ellaism,ELLA,0.21012,5113.89,428191.9914,-1.25%,0.89%,10.73%
FujiCoin,FJC,0.000355497,906.703,419461.11733,16.63%,11.98%,0.16%
PoSToken,POS,0.605466,3550.81,405390.365766,-2.14%,-8.76%,-16.81%
BlockPay,BLOCKPAY,0.0738806,1127.32,401046.06098,-0.57%,-9.76%,8.24%
Dashcoin,DSH,0.0227362,42768.8,399588.041639,-1.72%,17.16%,-9.10%
BlakeStar,BLAS,0.00157131,5242.24,387623.236229,-1.25%,8.74%,-31.66%
Sprouts,SPRTS,3.43603e-07,551.834,370754.555563,-11.77%,-1.13%,-33.01%
Pakcoin,PAK,0.00817361,1222.22,357670.634712,-0.79%,-2.08%,3.74%
Veltor,VLT,0.643153,853.334,356856.657815,9.39%,3.44%,17.93%
bitBTC,BITBTC,7050.16,2832.33,356107.811696,-11.10%,1.73%,-12.59%
Deutsche eMark,DEM,0.0127495,1155.18,354352.152861,-0.73%,9.16%,0.00%
Sterlingcoin,SLG,0.0835459,1905.1,350897.782455,-1.18%,10.42%,66.81%
AltCommunity ...,ALTCOM,3.29198,6596.35,349919.266661,-1.22%,7.65%,-30.36%
Authorship,ATS,0.00420097,8743.87,336077.6,-1.97%,-5.55%,-3.92%
Universal Cur...,UNIT,0.0206397,1612.17,334596.480978,-1.16%,-1.49%,261.18%
Dalecoin,DALC,0.822087,4170.19,331969.417731,-1.96%,4.81%,-19.61%
EmberCoin,EMB,3.57328e-06,1763.38,329423.623022,-0.85%,-69.32%,-59.14%
808Coin,808,0.000358629,7993.49,326576.469983,-1.18%,6.91%,-20.15%
Valorbit,VAL,7.14694e-05,956.266,325406.28375,-1.25%,,-3.88%
Phoenixcoin,PXC,0.00523543,2829.35,324249.176969,-15.24%,-15.35%,26.30%
Ethereum Dark,ETHD,0.215007,105603.0,322510.5,-2.31%,2.91%,-7.54%
DaxxCoin,DAXX,0.000643176,646.749,318287.342971,-11.04%,-17.18%,-3.89%
Atomic Coin,ATOM,0.0245643,1254.56,316596.889263,-1.18%,10.95%,33.33%
Octanox,OTX,0.0371641,2355.77,315894.887164,2.70%,0.88%,-43.07%
DigitalPrice,DP,0.0177139,6207.68,302850.102111,-12.40%,-24.42%,-38.88%
Tychocoin,TYCHO,0.0593196,6224.98,298043.500013,-1.25%,-7.13%,-34.19%
GoldReserve,XGR,0.0170988,1657.58,293610.027567,-1.53%,62.67%,37.14%
CageCoin,CAGE,2.9019e-06,5781.01,293580.372169,-12.06%,6.48%,-88.67%
Newbium,NEWB,0.00583683,774.089,291841.5,-1.00%,13.82%,-5.08%
Vsync,VSX,0.00287896,7347.0,284914.186275,-1.24%,8.43%,-20.30%
TrumpCoin,TRUMP,0.0428437,1039.95,280449.375693,-1.06%,-2.09%,-12.22%
Bolenum,BLN,0.026358,2358.71,263580.0,-1.20%,-10.76%,-6.87%
Joulecoin,XJO,0.00742687,2341.34,254511.733809,-1.11%,8.85%,13.56%
PostCoin,POST,0.015759,2021.07,250067.479075,-1.37%,7.26%,-7.36%
Nyancoin,NYAN,0.000768263,922.58,243834.301938,-1.22%,39.03%,21.17%
Senderon,SDRN,0.00658842,3296.94,235054.401498,-8.99%,-9.43%,-9.86%
LiteBar,LTB,0.297563,777.283,234759.829126,-30.89%,1.95%,-1.92%
Rasputin Onli...,ROC,0.213863,2253.46,231746.654521,3.01%,-30.28%,-70.05%
Acoin,ACOIN,0.187,636.561,228155.886895,0.64%,85.15%,106.42%
Scorecoin,SCORE,0.00749821,2106.16,227545.112021,-1.86%,1.11%,-11.03%
Devcoin,DVC,1.5053e-05,912.932,226892.476598,-0.66%,-31.06%,21.11%
KiloCoin,KLC,0.00112547,2832.27,220927.477433,-1.24%,-71.07%,25.44%
Universe,UNI,0.0208691,501.992,212550.07802,-19.59%,-5.51%,-7.58%
FlutterCoin,FLT,0.000639874,901.164,206176.696457,-1.26%,3.95%,-16.17%
Bitgem,BTG,3.35958,2084.45,198229.013276,3.03%,0.37%,53.84%
Prototanium,PR,1.00883,2405.37,197496.09449,-1.14%,8.80%,0.24%
Elcoin,EL,0.0175789,2239.74,197041.309996,-4.19%,13.73%,1.88%
Bitcoin Red,BTCRED,0.0190546,20153.0,190546.0,15.11%,13.07%,78.76%
BiblePay,BBP,0.000786163,979.341,188515.032317,-1.25%,19.84%,1.12%
Ethereum Cash,ECASH,0.0131437,4724.63,185326.17,-0.24%,27.68%,16.86%
EOT Token,EOT,0.0218802,12940.6,180750.209823,1.53%,25.16%,-59.25%
ChessCoin,CHESS,0.0031798,748.787,171813.39776,-1.25%,83.95%,34.71%
Cannacoin,CCN,0.0349234,594.644,164123.985441,-1.14%,8.27%,-10.70%
EcoCoin,ECO,0.149646,25540.6,157645.634726,-6.80%,-17.24%,-0.74%
ChanCoin,4CHN,0.0230754,834.321,154488.216003,-1.47%,16.89%,96.78%
Cryptojacks,CJ,0.000346474,1253.09,140865.442502,1.44%,27.75%,-39.96%
ReeCoin,REE,5.49034e-05,1650.26,140552.704,-1.19%,65.49%,68.95%
Ripto Bux,RBX,0.000355439,1641.85,135506.186323,-1.00%,12.25%,6.63%
WomenCoin,WOMEN,0.00305138,1237.96,134933.245033,10.15%,-8.55%,-61.31%
Evotion,EVO,0.0420242,1259.35,132638.065666,-1.26%,8.84%,7.29%
Mincoin,MNC,0.0312487,1952.09,123983.9948,-29.97%,-59.69%,-65.00%
Zurcoin,ZUR,0.00142147,1290.7,122463.880745,1.84%,-1.06%,-3.87%
PRCoin,PRC,0.0079331,22937.3,119085.35072,-1.25%,-0.88%,-12.93%
CoinonatX,XCXT,0.00730683,751.926,110215.893451,-12.88%,17.97%,-1.33%
bitGold,BITGOLD,1222.57,543.132,109993.889358,-0.86%,-0.03%,-4.17%
GoldBlocks,GB,0.00718239,740.842,108210.544279,-1.16%,11.59%,2.13%
Blakecoin,BLC,0.00714535,649.339,108056.964011,4.73%,-12.62%,-9.81%
Wyvern,WYV,0.0614637,1332.12,104821.635156,5.24%,-6.30%,-21.67%
Artex Coin,ATX,0.00543922,1139.11,102158.069606,-1.21%,179.98%,216.00%
CampusCoin,CMPCO,0.00043034,1674.18,99298.8227226,-5.56%,6.15%,-44.07%
BitcoinFast,BCF,0.0219384,540.295,92321.8235756,-2.83%,0.68%,20.34%
Eurocoin,EUC,0.00746206,1596.73,92209.6346731,-0.79%,-1.23%,43.46%
Catcoin,CAT,0.0148656,806.395,91358.0310774,-1.20%,12.18%,5.87%
Virta Unique ...,VUC,0.00148274,1829.37,90970.8066995,-5.12%,4.55%,-22.84%
Pascal Lite,PASL,0.0218696,1343.61,87862.21148,-27.13%,-34.48%,12.74%
Bitcurrency,BTCR,0.000480685,877.887,81523.5108,10.87%,129.74%,-24.29%
USDe,USDE,7.14694e-05,2197.21,81063.1737965,-1.20%,8.94%,-3.87%
iEthereum,IETH,0.00439458,10874.6,79023.33756,-39.93%,-33.94%,-36.00%
Doubloon,BOAT,0.00410155,1485.37,76074.9140699,-0.91%,17.90%,199.83%
Roofs,ROOFS,0.000571726,1033.91,74324.38,12.86%,8.95%,1.88%
Cypher,CYP,0.0116495,1607.3,74152.3838227,-1.25%,-36.34%,27.75%
FUNCoin,FUNC,0.0123442,1207.04,72196.0586327,-0.98%,-0.65%,-48.47%
bitEUR,BITEUR,1.16831,589.548,70358.665806,-0.81%,-2.89%,-1.68%
Litecoin Plus,LCP,0.106669,996.455,68178.2638116,-0.91%,-4.14%,581.77%
Interzone,ITZ,0.045784,2977.41,63450.4222964,-5.96%,15.19%,-31.06%
Solarflarecoin,SFC,0.00447143,1070.22,62973.1608335,29.00%,106.08%,83.33%
NevaCoin,NEVA,0.0262814,727.192,62885.082664,-1.17%,10.72%,17.21%
Asiadigicoin,ADCN,0.00250143,839.919,62363.2864072,-1.20%,0.06%,-19.08%
BoostCoin,BOST,0.00521726,571.847,61853.1589831,-1.20%,8.62%,-19.19%
Master Swiscoin,MSCN,0.00128495,851.442,57044.378688,-11.15%,-7.25%,-39.30%
CybCSec,XCS,0.00478845,4385.03,56666.9113813,24.90%,18.06%,-25.95%
Tristar Coin,TSTR,0.0104345,74163.9,52463.1701487,-25.68%,37.75%,29.07%
300 Token,300,173.242,608.135,51972.6,-1.25%,-3.97%,13.24%
