Name,Symbol,Price (USD),Volume (USD),Market capacity (USD),Change (1h),Change (24h),Change (7d)
TaaS,TAAS,4.14458,294399.0,33761751.9103,-0.93%,-4.93%,-11.73%
Grid+,GRID,0.855451,35019.9,33564895.4624,-2.94%,-5.93%,6.39%
AirSwap,AST,0.223696,1948940.0,33554400.0,-2.06%,-3.21%,-11.67%
TokenCard,TKN,1.41294,356232.0,33407632.3833,-2.46%,12.17%,22.83%
Quantum Resis...,QRL,0.639047,174005.0,33230444.0,-2.39%,1.48%,0.64%
Bitcore,BTX,27.6063,9156400.0,33006150.3757,-0.74%,73.84%,157.66%
Viacoin,VIA,1.44009,544464.0,32966943.0552,0.12%,0.45%,-4.62%
Groestlcoin,GRS,0.476707,2345870.0,32800303.6951,-1.83%,-5.53%,-26.42%
ReddCoin,RDD,0.00114333,1934590.0,32776913.1576,1.47%,1.90%,3.11%
SONM,SNM,0.0908394,1173860.0,32665848.24,-1.21%,-0.03%,1.73%
Achain,ACT,0.10749,257745.0,32247000.0,-3.66%,1.03%,6.16%
Gulden,NLG,0.0895782,137895.0,31914772.8441,-1.63%,6.54%,-7.73%
CloakCoin,CLOAK,6.10714,406478.0,31290479.9418,-0.55%,11.69%,19.02%
Enigma,ENG,0.406357,786663.0,30410201.9756,-1.80%,3.81%,-5.39%
Amber,AMB,0.200975,325445.0,29059171.2006,-2.42%,-8.58%,-13.30%
Modum,MOD,1.67231,717616.0,29041669.922,2.28%,-1.95%,-20.14%
Substratum,SUB,0.128346,689454.0,29017933.098,-3.87%,5.27%,7.10%
Rise,RISE,0.256297,532642.0,28997237.5424,-0.89%,-1.74%,-2.68%
Target Coin,TGT,0.0300877,1394.62,28656424.8615,-1.22%,-17.99%,209.28%
Cofound.it,CFI,0.0881341,238513.0,28643582.5,-2.18%,1.43%,-10.64%
Emercoin,EMC,0.699009,274373.0,28624175.8153,-2.06%,3.47%,4.46%
LEOcoin,LEO,0.304728,814452.0,28418141.7127,-1.03%,0.81%,-9.82%
FirstBlood,1ST,0.331251,389524.0,28341295.7865,-2.05%,0.97%,-3.31%
ATBCoin,ATB,0.726235,823291.0,28314604.935,1.26%,14.68%,8.42%
DECENT,DCT,0.545488,623334.0,27986855.8764,0.31%,15.23%,20.81%
PotCoin,POT,0.126187,657122.0,27587971.2903,-1.62%,0.52%,6.05%
Everex,EVX,1.65062,1793240.0,27235230.0,-0.66%,-8.40%,-5.41%
Paragon,PRG,0.431822,231608.0,27227232.1236,5.66%,1.38%,25.75%
Skycoin,SKY,4.55889,17795.0,27048797.0302,0.87%,5.37%,12.66%
Decentraland,MANA,0.011608,236822.0,26393755.5852,1.05%,3.96%,-21.72%
Einsteinium,EMC2,0.119827,18626200.0,25880423.7681,14.08%,17.72%,87.55%
ALIS,ALIS,0.676195,2026580.0,25595744.325,11.09%,13.11%,92.90%
XPlay,XPA,0.0253345,9903.57,25334500.0,0.37%,0.59%,10.88%
ICOS,ICOS,42.9731,312988.0,25044172.8654,-1.54%,-15.68%,-9.94%
Elastic,XEL,0.285877,399808.0,25004604.8745,-0.22%,-1.59%,-2.77%
Red Pulse,RPX,0.0454529,809667.0,24696765.0356,-0.69%,-6.52%,8.52%
RChain,RHOC,0.134896,32853.0,24546107.1662,4.91%,-2.07%,2.84%
WeTrust,TRST,0.264441,338844.0,24367577.0475,-1.49%,-0.17%,-3.07%
Moeda Loyalty...,MDA,1.23864,1045450.0,24313125.8323,-1.67%,-7.02%,-18.99%
Viberate,VIB,0.150055,1627300.0,24106556.0955,-2.41%,0.54%,-16.75%
Eidoo,EDO,2.20558,2074180.0,23618239.4887,-0.24%,-0.13%,11.03%
Aeon,AEON,1.60696,95048.1,23543796.5844,-2.87%,0.51%,3.59%
PayPie,PPP,0.280258,89823.1,23121285.0,0.25%,-1.59%,23.01%
Stox,STX,0.518521,632713.0,22906439.6489,0.72%,-6.02%,-33.77%
district0x,DNT,0.0377809,2121560.0,22668540.0,-7.55%,-1.46%,-16.57%
LBRY Credits,LBC,0.200212,1571990.0,22600516.1803,-1.11%,0.68%,32.39%
Diamond,DMD,8.9841,92548.7,22587288.1724,-1.74%,1.92%,-8.08%
Feathercoin,FTC,0.122425,390220.0,22257477.125,5.33%,23.91%,3.25%
Xaurum,XAUR,0.173154,78405.3,22009364.4261,-2.27%,3.12%,-4.24%
Cindicator,CND,0.0150208,168209.0,21719725.168,-0.91%,4.18%,32.15%
Namecoin,NMC,1.45795,159094.0,21484934.38,-1.07%,4.56%,-3.86%
DomRaider,DRT,0.0361977,71630.0,21410939.55,10.39%,-8.04%,10.23%
Crown,CRW,1.29802,78769.4,20771097.642,-1.36%,4.87%,-9.23%
SIBCoin,SIB,1.30419,51660.6,20638365.0402,-2.28%,3.99%,4.89%
Tierion,TNT,0.048391,271820.0,20445858.884,-0.55%,-5.16%,-27.50%
MinexCoin,MNX,6.67588,57159.8,20027640.0,-3.19%,1.46%,38.86%
ION,ION,1.13315,29919.3,19983168.2383,-0.61%,2.72%,2.60%
RaiBlocks,XRB,0.144032,349465.0,19192017.7371,-0.12%,7.56%,37.18%
Safe Exchange...,SAFEX,0.00893428,147484.0,19186220.1977,-3.28%,1.22%,-2.75%
Soarcoin,SOAR,0.0262097,36233.4,18633109.3633,-4.77%,9.88%,40.82%
Revain,R,0.10098,265916.0,18625761.0,-0.71%,22.84%,19.94%
Blackmoon Crypto,BMC,0.617148,548510.0,18544835.0089,-1.11%,-1.68%,29.82%
CoinDash,CDT,0.0331146,252558.0,18381389.3343,-2.36%,2.90%,-22.87%
SolarCoin,SLR,0.482815,960684.0,17978109.0303,0.83%,1.27%,22.70%
Enjin Coin,ENJ,0.0234463,2257040.0,17729917.0349,-1.99%,-10.77%,20.20%
Chronobank,TIME,24.9323,1517160.0,17704745.6327,-0.78%,13.66%,-1.35%
Triggers,TRIG,0.543167,2209490.0,17438690.2195,1.38%,0.16%,-9.70%
BitDice,CSNO,0.243454,67988.5,17041780.0,-4.62%,4.17%,12.86%
MCAP,MCAP,0.44483,1479510.0,17035050.0282,13.36%,97.53%,-72.19%
Rubycoin,RBY,0.681523,52099.5,17026308.0909,-1.89%,1.75%,-11.90%
Etheroll,DICE,2.41555,30457.8,16912769.5893,0.58%,-7.98%,-13.84%
Mercury,MER,0.164366,9483460.0,16436600.0,-2.17%,-11.16%,585.50%
Cobinhood,COB,0.0665196,98299.3,16282258.9916,-4.65%,2.85%,17.69%
BitSend,BSD,0.943804,1130350.0,16200277.6845,-1.55%,41.54%,56.19%
Monetha,MTH,0.073721,525053.0,15987388.2079,-0.55%,-2.48%,-4.92%
ToaCoin,TOA,0.00922119,19186.3,15979489.5398,-1.71%,7.77%,-2.68%
BlackCoin,BLK,0.206653,863560.0,15807029.4025,-2.79%,7.18%,-8.88%
VeriCoin,VRC,0.515429,919661.0,15693759.4909,-3.37%,18.30%,-2.46%
Expanse,EXP,1.97924,2734160.0,15648656.2696,-1.06%,2.29%,6.63%
Agrello,DLT,0.18142,292424.0,15598287.1397,0.68%,5.59%,26.18%
SmartCash,SMART,0.0518156,118410.0,15512953.3517,-2.42%,-15.36%,-26.38%
Santiment Net...,SAN,0.253891,692299.0,15361055.45,-1.05%,-0.61%,14.21%
Humaniq,HMQ,0.0939551,169453.0,15301621.3208,-1.14%,5.60%,3.20%
Peerplays,PPY,3.97778,5275.17,15191233.6702,-5.12%,-10.49%,-18.23%
Aventus,AVT,2.49887,656008.0,14993220.0,1.15%,-4.74%,19.46%
E-coin,ECN,3.31686,6853.67,14925212.4442,-0.60%,-4.34%,-11.18%
GridCoin,GRC,0.0378901,58991.0,14788989.2482,-1.60%,1.96%,-8.13%
Agoras Tokens,AGRS,0.351772,23601.1,14774424.0,-2.06%,6.39%,-8.28%
Maecenas,ART,0.489873,51965.5,14769744.5033,0.26%,0.90%,56.04%
Matchpool,GUP,0.195945,517701.0,14695875.0,-1.38%,9.44%,13.68%
DigitalNote,XDN,0.00212996,4379210.0,14666256.5371,-0.75%,2.24%,-5.20%
Rialto,XRL,0.171899,46109.3,14611414.99,-2.08%,-2.01%,-6.99%
Numeraire,NMR,11.6665,152690.0,14566701.6405,-2.65%,1.25%,6.72%
DubaiCoin,DBIX,9.5818,188043.0,14380848.7843,1.30%,8.39%,-4.80%
